n,id,loan_amnt,installment,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,total_rec_int,application_type,dti_joint,all_util,total_rev_hi_lim
163,32449807,25000.0,860.41,7 years,MORTGAGE,72000.0,Source Verified,Current,debt_consolidation,FL,9.36,0.0,Jan-2001,3561.75,INDIVIDUAL,,,
164,18555745,17975.0,452.26,9 years,RENT,54000.0,Source Verified,Current,home_improvement,IL,20.44,0.0,Feb-2002,4278.78,INDIVIDUAL,,,25900.0
165,34353108,25000.0,830.24,2 years,OWN,55000.0,Verified,Current,debt_consolidation,NY,20.36,0.0,Mar-1994,2930.98,INDIVIDUAL,,,41000.0
166,27099810,8950.0,276.85,< 1 year,RENT,20000.0,Source Verified,Current,debt_consolidation,TX,33.73,0.0,Oct-2003,685.85,INDIVIDUAL,,,53800.0
167,523337,7800.0,242.67,< 1 year,MORTGAGE,48000.0,Not Verified,Fully Paid,debt_consolidation,CA,14.32,0.0,Mar-1999,710.32,INDIVIDUAL,,,
168,46692288,10000.0,322.63,8 years,MORTGAGE,58000.0,Not Verified,Current,credit_card,FL,17.48,0.0,Jan-2001,603.78,INDIVIDUAL,,,20500.0
169,24074713,23225.0,724.48,5 years,MORTGAGE,85000.0,Source Verified,Current,debt_consolidation,FL,27.18,0.0,Sep-2003,2012.03,INDIVIDUAL,,,25200.0
170,28833848,12000.0,,10+ years,MORTGAGE,50000.0,Source Verified,Charged Off,other,KY,30.03,3.0,Jun-2004,956.24,INDIVIDUAL,,,4100.0
171,62285874,28000.0,876.0,5 years,MORTGAGE,92000.0,Verified,Current,debt_consolidation,KY,30.02,0.0,Jun-1994,339.1,INDIVIDUAL,,,59250.0
172,49603267,7000.0,,2 years,MORTGAGE,128654.0,Source Verified,Current,car,VA,12.02,1.0,Aug-2003,229.2,INDIVIDUAL,,,75683.0
173,57804099,9000.0,,3 years,MORTGAGE,68000.0,Not Verified,Current,debt_consolidation,MO,17.91,0.0,Dec-2000,447.44,INDIVIDUAL,,,32600.0
174,51205248,10000.0,312.86,n/a,MORTGAGE,25445.0,Verified,Current,debt_consolidation,GA,13.96,3.0,Aug-1996,365.53,INDIVIDUAL,,,18500.0
175,55452357,16950.0,604.23,4 years,MORTGAGE,80000.0,Not Verified,Current,debt_consolidation,MS,15.14,1.0,Apr-2000,1131.61,INDIVIDUAL,,,18600.0
176,50435989,25000.0,770.68,9 years,RENT,95000.0,Verified,Current,debt_consolidation,CA,30.66,0.0,Oct-1997,961.97,INDIVIDUAL,,,65600.0
177,49873998,8000.0,268.36,10+ years,MORTGAGE,80000.0,Source Verified,Current,home_improvement,MI,11.72,0.0,Jul-1998,536.56,INDIVIDUAL,,,30500.0
178,16452850,10000.0,315.17,10+ years,MORTGAGE,92500.0,Not Verified,Fully Paid,debt_consolidation,PA,18.32,0.0,Jun-1999,1023.25,INDIVIDUAL,,,38300.0
179,66380372,12150.0,440.48,10+ years,RENT,32000.0,Source Verified,Current,credit_card,FL,22.39,1.0,Jun-2012,172.0,INDIVIDUAL,,,6600.0
180,7275757,4200.0,139.49,10+ years,MORTGAGE,120000.0,Source Verified,Late (31-120 days),debt_consolidation,MN,19.63,2.0,Oct-1995,717.43,INDIVIDUAL,,,22300.0
181,50585180,8000.0,240.92,4 years,,51000.0,Not Verified,Current,credit_card,TN,13.69,0.0,May-1987,226.64,INDIVIDUAL,,,4600.0
182,5715529,20000.0,484.24,5 years,MORTGAGE,71000.0,Verified,Charged Off,home_improvement,CA,,0.0,Sep-1998,2495.7,INDIVIDUAL,,,8500.0
183,46204785,7000.0,230.94,n/a,MORTGAGE,60000.0,Verified,Current,home_improvement,GA,24.22,0.0,May-1997,484.2,INDIVIDUAL,,,27000.0
184,60740515,14000.0,347.87,7 years,OWN,70000.0,Source Verified,Current,vacation,SC,18.86,0.0,Mar-2003,548.76,INDIVIDUAL,,,7500.0
185,66500122,30000.0,845.55,10+ years,MORTGAGE,75000.0,Source Verified,Fully Paid,home_improvement,NY,18.13,3.0,Jan-2000,23.95,INDIVIDUAL,,,
186,46662167,35000.0,1099.69,10+ years,MORTGAGE,95000.0,Verified,Current,debt_consolidation,CA,24.98,0.0,Aug-1992,1726.14,INDIVIDUAL,,,104500.0
187,61409625,15000.0,478.19,6 years,MORTGAGE,88000.0,Not Verified,Current,debt_consolidation,NV,7.25,1.0,Nov-1991,327.88,INDIVIDUAL,,,
188,17243314,2000.0,,1 year,MORTGAGE,60000.0,Verified,Current,home_improvement,KY,10.54,12.0,Jan-1999,330.52,INDIVIDUAL,,,15600.0
189,9646629,30000.0,1018.5,10+ years,RENT,80000.0,Verified,Current,debt_consolidation,WA,31.79,0.0,Aug-2003,5813.11,INDIVIDUAL,,,33600.0
190,67327549,10000.0,308.27,4 years,RENT,57000.0,Source Verified,Current,debt_consolidation,AZ,13.01,1.0,Sep-1993,49.76,INDIVIDUAL,,42.2,30100.0
191,9807288,10500.0,286.91,6 years,RENT,100000.0,Verified,Charged Off,credit_card,WI,4.74,0.0,Sep-2007,2904.93,INDIVIDUAL,,,30700.0
192,20739962,21350.0,514.78,6 years,RENT,75000.0,Verified,Fully Paid,credit_card,NY,28.18,1.0,Jul-2000,4139.48,INDIVIDUAL,,,60100.0
193,8755350,16000.0,,1 year,MORTGAGE,44000.0,Verified,Current,credit_card,PA,29.46,0.0,Jun-2001,3767.48,INDIVIDUAL,,,
194,11334777,15000.0,504.33,4 years,OWN,65000.0,Verified,Fully Paid,debt_consolidation,MI,20.22,0.0,Jul-2000,2359.17,INDIVIDUAL,,,26700.0
195,38584991,25425.0,,3 years,RENT,75000.0,Source Verified,Fully Paid,other,CA,24.16,0.0,Nov-2007,1916.06,INDIVIDUAL,,,19100.0
196,34493183,35000.0,1230.33,10+ years,MORTGAGE,104000.0,Verified,Current,debt_consolidation,NY,19.57,0.0,Oct-2005,5520.57,INDIVIDUAL,,,47200.0
197,47251325,3000.0,106.29,10+ years,MORTGAGE,76000.0,Verified,Current,medical,TX,16.36,0.0,Nov-1989,299.71,INDIVIDUAL,,,
198,54218439,13000.0,433.59,2 years,RENT,70000.0,Verified,Current,debt_consolidation,MD,18.43,0.0,Mar-2000,756.5,INDIVIDUAL,,,
199,38454413,20000.0,411.98,10+ years,MORTGAGE,83000.0,Verified,Current,debt_consolidation,TX,26.58,0.0,Aug-1999,1584.06,INDIVIDUAL,,,58800.0
200,19436456,18000.0,,2 years,RENT,200000.0,Not Verified,Fully Paid,debt_consolidation,NJ,3.85,0.0,Mar-1995,1125.12,INDIVIDUAL,,,
201,65593475,15000.0,,4 years,MORTGAGE,115000.0,Not Verified,Current,debt_consolidation,CA,19.01,2.0,May-2005,99.34,INDIVIDUAL,,,24400.0
202,40307402,14500.0,425.51,8 years,OWN,29000.0,Source Verified,Current,debt_consolidation,MI,31.46,0.0,Jan-2004,3130.6,INDIVIDUAL,,,10400.0
203,8567902,35000.0,1249.59,3 years,RENT,185000.0,Verified,Fully Paid,debt_consolidation,CT,15.61,0.0,Dec-1979,3260.62,INDIVIDUAL,,,70000.0
204,37630764,28000.0,587.92,10+ years,MORTGAGE,73000.0,Source Verified,Fully Paid,credit_card,IL,14.12,0.0,May-2000,1213.81,INDIVIDUAL,,,131900.0
205,6291735,12000.0,373.94,10+ years,MORTGAGE,66000.0,Not Verified,Fully Paid,debt_consolidation,AZ,5.74,0.0,Feb-2000,1296.44,INDIVIDUAL,,,32500.0
206,5939154,14000.0,398.7,10+ years,RENT,70000.0,Verified,In Grace Period,other,CA,11.42,0.0,Mar-1975,6758.89,INDIVIDUAL,,,12800.0
207,46844267,13000.0,414.43,10+ years,RENT,60200.0,Source Verified,Current,debt_consolidation,VA,,0.0,Feb-1973,719.65,INDIVIDUAL,,,14000.0
208,58752125,31950.0,1102.09,n/a,MORTGAGE,71000.0,Verified,Fully Paid,debt_consolidation,MN,24.75,0.0,Jul-1986,883.77,INDIVIDUAL,,,66550.0
209,725076,10000.0,349.85,10+ years,OWN,105000.0,Verified,Fully Paid,debt_consolidation,MA,18.31,0.0,Jun-1990,1066.18,INDIVIDUAL,,,
210,5769909,15800.0,382.55,7 years,,47000.0,Verified,Current,debt_consolidation,TX,19.74,0.0,Nov-1999,5227.45,INDIVIDUAL,,,22500.0
211,68384009,13875.0,,4 years,OWN,100000.0,Source Verified,Issued,debt_consolidation,NY,,0.0,Sep-2002,0.0,INDIVIDUAL,,67.9,12100.0
212,16192168,5600.0,127.39,< 1 year,OWN,28000.0,Source Verified,Current,debt_consolidation,TX,4.07,0.0,Sep-1990,1020.26,INDIVIDUAL,,,
213,55897520,14350.0,363.31,7 years,MORTGAGE,45000.0,Source Verified,Current,credit_card,PA,24.45,0.0,Mar-1996,1233.12,INDIVIDUAL,,,
214,66522853,20000.0,669.94,3 years,RENT,105000.0,Not Verified,Current,small_business,FL,20.1,0.0,Jun-1992,195.84,INDIVIDUAL,,,
215,24035788,15000.0,389.03,6 years,OWN,57000.0,Verified,Charged Off,debt_consolidation,MA,35.83,0.0,Jul-1997,2635.63,INDIVIDUAL,,,18700.0
216,34383056,8000.0,269.52,1 year,MORTGAGE,70000.0,Not Verified,Fully Paid,debt_consolidation,WA,10.38,0.0,Dec-1984,767.12,INDIVIDUAL,,,14400.0
217,37690127,6000.0,,4 years,RENT,43000.0,Source Verified,Current,debt_consolidation,OH,11.89,0.0,Aug-2009,662.7,INDIVIDUAL,,,2400.0
218,36371161,10000.0,329.48,< 1 year,RENT,40000.0,Not Verified,Current,credit_card,OH,15.72,0.0,Sep-1999,1066.41,INDIVIDUAL,,,26400.0
219,62570122,6825.0,246.27,10+ years,RENT,46000.0,Verified,Current,other,CT,31.33,0.0,Feb-2003,194.23,INDIVIDUAL,,,8600.0
220,41150024,12125.0,414.35,4 years,RENT,91000.0,Source Verified,Current,debt_consolidation,NV,13.7,0.0,Apr-2000,1350.06,INDIVIDUAL,,,15200.0
221,58460127,3000.0,101.56,2 years,RENT,20000.0,Source Verified,Current,credit_card,CA,24.33,0.0,Sep-2011,124.28,INDIVIDUAL,,,7300.0
222,47551680,30000.0,765.89,2 years,MORTGAGE,95615.0,Verified,Fully Paid,debt_consolidation,KY,25.23,0.0,Mar-1998,2935.01,INDIVIDUAL,,,15500.0
223,68496489,10000.0,301.15,10+ years,RENT,80000.0,Source Verified,Issued,credit_card,CA,5.27,0.0,Sep-2001,0.0,INDIVIDUAL,,47.2,40300.0
224,14278185,10000.0,336.9,10+ years,RENT,52000.0,Source Verified,Charged Off,debt_consolidation,NY,17.47,0.0,May-2008,1206.31,INDIVIDUAL,,,8900.0
225,1481071,16750.0,575.17,10+ years,MORTGAGE,43000.0,Verified,Fully Paid,credit_card,MA,31.34,0.0,Aug-1994,3952.68,INDIVIDUAL,,,28000.0
226,66622020,14975.0,396.67,7 years,MORTGAGE,68000.0,Source Verified,Current,debt_consolidation,MI,20.9,0.0,Sep-1995,232.83,INDIVIDUAL,,,28400.0
227,63326240,5000.0,164.86,9 years,RENT,34000.0,Verified,Current,debt_consolidation,AZ,13.58,0.0,Dec-1997,89.84,INDIVIDUAL,,,15500.0
228,56533038,14000.0,427.44,10+ years,MORTGAGE,34000.0,Source Verified,Current,credit_card,AR,,0.0,Oct-1999,335.75,INDIVIDUAL,,,23100.0
229,21301122,10000.0,336.9,< 1 year,RENT,50000.0,Not Verified,Current,debt_consolidation,PA,16.95,0.0,Jul-1994,1547.03,INDIVIDUAL,,,70900.0
230,60467205,6525.0,231.18,2 years,RENT,35000.0,Verified,Current,debt_consolidation,KS,28.53,0.0,Aug-2004,336.17,INDIVIDUAL,,,12200.0
231,38527005,5700.0,177.28,5 years,MORTGAGE,90000.0,Not Verified,Current,debt_consolidation,MA,6.68,1.0,Jul-1993,273.04,INDIVIDUAL,,,21900.0
232,22463337,12000.0,269.92,7 years,MORTGAGE,65000.0,Source Verified,Fully Paid,debt_consolidation,MO,31.7,0.0,Mar-2004,191.04,INDIVIDUAL,,,19000.0
233,35054175,19200.0,637.63,10+ years,MORTGAGE,64000.0,Verified,Fully Paid,credit_card,MD,19.12,0.0,Aug-1995,602.83,INDIVIDUAL,,,41500.0
234,52668192,35000.0,899.28,10+ years,OWN,93000.0,Verified,Current,debt_consolidation,GA,22.75,0.0,Dec-2001,3631.89,INDIVIDUAL,,,44300.0
235,24454941,20000.0,630.34,10+ years,MORTGAGE,129600.0,Verified,Fully Paid,debt_consolidation,CA,19.41,0.0,Jan-1993,1077.15,INDIVIDUAL,,,52400.0
236,46357152,2975.0,100.72,< 1 year,MORTGAGE,37500.0,Not Verified,Current,home_improvement,CA,15.58,0.0,Nov-2003,240.66,INDIVIDUAL,,,6000.0
237,65392151,8000.0,263.78,8 years,RENT,50000.0,Verified,Current,debt_consolidation,AZ,18.31,0.0,Nov-2007,146.3,INDIVIDUAL,,,21500.0
238,49883681,30000.0,660.24,6 years,MORTGAGE,75000.0,Verified,Current,debt_consolidation,LA,21.56,0.0,Feb-1970,1922.26,INDIVIDUAL,,,62900.0
239,363852,6000.0,204.11,10+ years,MORTGAGE,44782.4,Not Verified,Fully Paid,credit_card,AR,22.78,0.0,Aug-1985,1347.71,INDIVIDUAL,,,
240,32138604,14000.0,441.24,10+ years,,40000.0,Not Verified,Current,credit_card,NY,10.56,1.0,Nov-1987,1129.37,INDIVIDUAL,,,46300.0
241,50083758,20150.0,,5 years,MORTGAGE,60000.0,Source Verified,Current,debt_consolidation,PA,23.74,0.0,Jan-1998,2448.94,INDIVIDUAL,,,24900.0
242,2297046,10000.0,312.91,< 1 year,MORTGAGE,120000.0,Verified,Fully Paid,credit_card,CA,20.17,0.0,Aug-1992,1264.46,INDIVIDUAL,,,40400.0
243,67385811,17000.0,558.34,10+ years,RENT,56000.0,Not Verified,Current,credit_card,CT,34.27,0.0,Nov-2002,148.35,INDIVIDUAL,,66.3,53900.0
244,40372653,24000.0,538.61,< 1 year,RENT,58000.0,Source Verified,Current,credit_card,CA,29.22,1.0,Jun-1996,2596.73,INDIVIDUAL,,,13000.0
245,14669427,12000.0,417.81,9 years,RENT,65000.0,Source Verified,Fully Paid,debt_consolidation,CA,17.12,0.0,Dec-2002,867.07,INDIVIDUAL,,,18300.0
246,60834308,10500.0,328.5,5 years,MORTGAGE,93354.16,Source Verified,Current,debt_consolidation,MI,13.49,1.0,Apr-2002,192.78,INDIVIDUAL,,,
247,46755852,21000.0,647.66,8 years,RENT,141500.0,Source Verified,Current,credit_card,WY,22.99,0.0,Nov-1989,874.72,INDIVIDUAL,,,
248,38311887,10775.0,366.49,< 1 year,MORTGAGE,54000.0,Not Verified,Fully Paid,debt_consolidation,GA,14.72,0.0,May-1995,1026.76,INDIVIDUAL,,,24000.0
249,54698316,25000.0,531.06,4 years,MORTGAGE,116575.0,Verified,Current,home_improvement,CO,23.41,1.0,Dec-2002,1180.22,INDIVIDUAL,,,31900.0
250,24705844,12000.0,435.28,5 years,RENT,40000.0,Not Verified,Fully Paid,debt_consolidation,CA,7.5,1.0,Dec-1993,1965.88,INDIVIDUAL,,,11000.0
251,12635969,22950.0,751.25,1 year,MORTGAGE,50000.0,Source Verified,Fully Paid,credit_card,NM,25.4,1.0,Dec-2001,810.82,INDIVIDUAL,,,17000.0
252,38505392,1400.0,55.3,< 1 year,OWN,12000.0,Verified,Current,debt_consolidation,MI,26.4,0.0,May-2011,302.52,INDIVIDUAL,,,5700.0
253,4298962,21000.0,,6 years,MORTGAGE,49000.0,Verified,Fully Paid,home_improvement,CA,20.5,0.0,Sep-1993,2712.91,INDIVIDUAL,,,16000.0
254,63408838,21000.0,,10+ years,MORTGAGE,152000.0,Verified,Current,debt_consolidation,CA,36.64,0.0,Jul-1999,672.89,INDIVIDUAL,,,95222.0
255,8114773,1000.0,34.02,6 years,MORTGAGE,52650.0,Source Verified,Current,home_improvement,WA,16.75,0.0,Nov-1987,204.22,INDIVIDUAL,,,35300.0
256,4310038,30000.0,847.44,2 years,MORTGAGE,75000.0,Source Verified,Fully Paid,debt_consolidation,TX,17.89,0.0,Apr-1995,5545.06,INDIVIDUAL,,,38562.0
257,29705188,7000.0,223.16,3 years,RENT,35000.0,Source Verified,Current,debt_consolidation,NY,7.37,2.0,Jul-1996,658.05,INDIVIDUAL,,,12000.0
258,15780576,22950.0,723.31,10+ years,MORTGAGE,75000.0,Not Verified,Fully Paid,credit_card,NJ,11.97,0.0,Jan-1985,1349.74,INDIVIDUAL,,,71600.0
259,38526417,12000.0,377.09,2 years,RENT,60000.0,Not Verified,Current,credit_card,NY,7.01,0.0,May-2000,835.84,INDIVIDUAL,,,8700.0
260,26459542,24000.0,558.19,10+ years,MORTGAGE,59000.0,Source Verified,Current,debt_consolidation,NY,29.52,0.0,Jul-1995,4062.13,INDIVIDUAL,,,71300.0
261,17985000,4675.0,162.04,7 years,RENT,57000.0,Not Verified,Fully Paid,debt_consolidation,IL,12.51,0.0,Jul-2006,225.76,INDIVIDUAL,,,10100.0
262,3358069,3100.0,109.44,1 year,RENT,25647.0,Not Verified,Fully Paid,credit_card,CA,21.39,0.0,Dec-2001,796.67,INDIVIDUAL,,,11000.0
263,55271288,8000.0,258.1,10+ years,OWN,40000.0,Source Verified,Current,debt_consolidation,VA,18.97,0.0,May-2002,312.48,INDIVIDUAL,,,24300.0
264,60932906,2500.0,79.7,n/a,MORTGAGE,24000.0,Verified,Current,credit_card,NC,0.8,1.0,Dec-1975,53.37,INDIVIDUAL,,,6200.0
265,42435789,27950.0,582.51,6 years,MORTGAGE,70000.0,Source Verified,Current,credit_card,IL,17.02,0.0,Nov-1998,1992.12,INDIVIDUAL,,,49200.0
266,17303118,6000.0,196.41,6 years,MORTGAGE,49000.0,Not Verified,Current,debt_consolidation,AL,13.2,0.0,Feb-2006,810.58,INDIVIDUAL,,,7400.0
267,11426502,32000.0,1075.9,n/a,OWN,85000.0,Verified,Fully Paid,credit_card,UT,11.73,0.0,Apr-1986,4957.81,INDIVIDUAL,,,79000.0
268,55999388,4225.0,151.84,9 years,MORTGAGE,60000.0,Not Verified,Current,home_improvement,FL,19.92,1.0,Mar-1997,291.82,INDIVIDUAL,,,11190.0
269,18554859,18075.0,514.02,10+ years,RENT,55000.0,Source Verified,Current,credit_card,NY,10.74,0.0,Aug-2000,6103.03,INDIVIDUAL,,,13900.0
270,66094973,6000.0,195.42,4 years,RENT,23000.0,Source Verified,Current,debt_consolidation,NV,17.69,0.0,May-2006,58.52,INDIVIDUAL,,,23000.0
271,34904177,10000.0,308.73,8 years,MORTGAGE,60000.0,Not Verified,Current,home_improvement,VA,17.43,0.0,Dec-1998,675.7,INDIVIDUAL,,,28900.0
272,65624593,27000.0,573.54,10+ years,MORTGAGE,64800.0,Source Verified,Current,debt_consolidation,OR,25.63,0.0,May-1986,194.81,INDIVIDUAL,,,
273,61752236,30000.0,687.68,10+ years,MORTGAGE,77500.0,Source Verified,Current,credit_card,NC,21.76,0.0,Nov-1991,987.89,INDIVIDUAL,,,64200.0
274,59071194,11325.0,390.65,< 1 year,RENT,27000.0,Verified,Current,debt_consolidation,CA,13.2,0.0,Feb-2011,517.42,INDIVIDUAL,,,15400.0
275,36039966,24000.0,570.84,2 years,OWN,70000.0,Source Verified,Current,debt_consolidation,FL,17.93,3.0,Dec-1998,3600.84,INDIVIDUAL,,,99700.0
276,54098748,15000.0,,< 1 year,RENT,70000.0,Verified,Current,debt_consolidation,NY,7.44,0.0,Nov-1986,403.16,INDIVIDUAL,,,35000.0
277,66405179,5500.0,176.86,9 years,RENT,68000.0,Verified,Current,credit_card,FL,11.34,1.0,Jul-2003,41.75,INDIVIDUAL,,,
278,31167049,13000.0,398.38,4 years,RENT,275000.0,Not Verified,Current,car,CA,14.76,0.0,Jan-2001,859.19,INDIVIDUAL,,,47600.0
279,61492957,8000.0,244.25,9 years,MORTGAGE,41000.0,Source Verified,Current,debt_consolidation,NC,29.1,0.0,Apr-1991,117.48,INDIVIDUAL,,,38800.0
280,42454902,5600.0,170.19,4 years,MORTGAGE,109000.0,Source Verified,Current,credit_card,GA,19.5,0.0,Oct-1994,232.85,INDIVIDUAL,,,86700.0
281,20698686,10000.0,336.9,10+ years,RENT,64000.0,Not Verified,Fully Paid,debt_consolidation,CA,18.43,0.0,Jun-2002,108.25,INDIVIDUAL,,,5200.0
282,10675043,11300.0,,n/a,MORTGAGE,34000.0,Verified,Fully Paid,debt_consolidation,GA,22.73,1.0,May-1993,1108.56,INDIVIDUAL,,,20700.0
283,63415330,21225.0,,9 years,MORTGAGE,54000.0,Source Verified,Current,debt_consolidation,PA,37.4,0.0,Sep-2006,599.22,INDIVIDUAL,,,30800.0
284,56462888,6000.0,,10+ years,OWN,30000.0,Source Verified,Current,debt_consolidation,OH,36.52,0.0,May-2004,446.72,INDIVIDUAL,,,63000.0
285,66483600,12000.0,274.15,6 years,MORTGAGE,58650.0,Not Verified,Current,debt_consolidation,NC,11.93,0.0,Mar-1999,123.01,INDIVIDUAL,,,20600.0
286,20007570,33425.0,853.15,2 years,MORTGAGE,188000.0,Verified,Current,credit_card,NY,10.53,1.0,Apr-1979,8273.61,INDIVIDUAL,,,29500.0
287,31227176,27375.0,583.67,10+ years,OWN,66500.0,Verified,Current,debt_consolidation,GA,18.82,0.0,Jun-1996,3117.85,INDIVIDUAL,,,28000.0
288,31607458,19000.0,446.94,10+ years,MORTGAGE,74000.0,Not Verified,Fully Paid,debt_consolidation,PA,7.72,0.0,Aug-2000,2782.69,INDIVIDUAL,,,18400.0
289,61952357,20000.0,637.58,10+ years,OWN,70000.0,Not Verified,Current,debt_consolidation,OR,37.65,0.0,Nov-2000,291.77,INDIVIDUAL,,,41000.0
290,4785303,33500.0,764.12,4 years,MORTGAGE,75000.0,Verified,Current,debt_consolidation,NY,28.59,0.0,Aug-1990,9298.02,INDIVIDUAL,,,30300.0
291,9374781,5500.0,197.66,1 year,MORTGAGE,35000.0,Verified,Current,debt_consolidation,AZ,30.83,0.0,Apr-1992,1435.95,INDIVIDUAL,,,10100.0
292,6298291,6175.0,203.78,2 years,RENT,32600.0,Not Verified,Current,debt_consolidation,GA,6.15,1.0,Mar-2004,1107.46,INDIVIDUAL,,,6600.0
293,6539903,15000.0,404.12,n/a,RENT,46080.0,Verified,Current,debt_consolidation,IL,12.55,0.0,Apr-1976,6342.96,INDIVIDUAL,,,33000.0
294,63354437,15700.0,317.52,10+ years,MORTGAGE,128000.0,Not Verified,Current,credit_card,CA,5.87,0.0,Dec-2000,206.29,INDIVIDUAL,,,21800.0
295,64968058,7000.0,223.16,1 year,MORTGAGE,100000.0,Not Verified,Current,home_improvement,FL,16.1,0.0,Oct-1997,98.56,INDIVIDUAL,,,67200.0
296,49046138,8000.0,270.83,10+ years,MORTGAGE,72000.0,Verified,Current,debt_consolidation,MD,28.57,0.0,Aug-1982,572.9,INDIVIDUAL,,,71500.0
297,55942729,16000.0,450.96,6 years,RENT,77688.0,Verified,Current,medical,VA,25.07,0.0,Sep-2003,1484.02,INDIVIDUAL,,,16500.0
298,5779091,14000.0,479.1,5 years,MORTGAGE,38000.0,Not Verified,Fully Paid,debt_consolidation,OH,18.25,0.0,Oct-1972,2964.52,INDIVIDUAL,,,43700.0
299,57684546,33375.0,844.97,3 years,RENT,71500.0,Source Verified,Current,debt_consolidation,OH,31.97,0.0,Dec-2001,1986.55,INDIVIDUAL,,,46500.0
300,3535352,19000.0,460.03,10+ years,MORTGAGE,43000.0,Verified,Current,credit_card,SD,24.78,0.0,Jan-1992,6713.04,INDIVIDUAL,,,23300.0
301,35014378,15000.0,474.7,5 years,RENT,42000.0,Source Verified,Current,debt_consolidation,MA,25.54,0.0,Mar-2009,1262.08,INDIVIDUAL,,,24200.0
302,17645061,16500.0,494.61,10+ years,MORTGAGE,55000.0,Verified,Charged Off,debt_consolidation,MO,29.15,0.0,May-2001,3442.05,INDIVIDUAL,,,21700.0
303,68563393,22800.0,591.32,10+ years,OWN,32000.0,Verified,Issued,debt_consolidation,IN,55.06,0.0,May-2000,0.0,JOINT,19.17,53.5,14500.0
304,62197302,21000.0,734.27,4 years,RENT,60000.0,Not Verified,Current,debt_consolidation,NY,27.86,0.0,Jul-2008,783.24,INDIVIDUAL,,,28700.0
305,19956934,27600.0,632.95,10+ years,MORTGAGE,135000.0,Verified,Current,debt_consolidation,MO,24.22,0.0,Oct-1994,5028.86,INDIVIDUAL,,,41300.0
306,66150301,17875.0,408.37,5 years,MORTGAGE,55000.0,Not Verified,Current,debt_consolidation,NH,18.18,0.0,Oct-2004,183.24,INDIVIDUAL,,,32500.0
307,19937166,22000.0,727.26,10+ years,RENT,64600.0,Source Verified,Charged Off,credit_card,NJ,22.74,0.0,Jul-1986,2365.42,INDIVIDUAL,,,30800.0
308,22353413,15000.0,456.54,10+ years,OWN,70000.0,Not Verified,Current,debt_consolidation,SC,24.55,0.0,Jul-1994,1014.23,INDIVIDUAL,,,121000.0
309,60831530,6000.0,193.58,3 years,RENT,25000.0,Verified,Current,credit_card,CA,29.08,0.0,Jul-2012,149.58,INDIVIDUAL,,,5800.0
310,31276278,11525.0,388.27,10+ years,MORTGAGE,48000.0,Source Verified,Current,credit_card,OH,,0.0,Feb-2000,1549.02,INDIVIDUAL,,,14500.0
311,65955275,20000.0,602.3,10+ years,OWN,145000.0,Source Verified,Current,debt_consolidation,TN,17.96,0.0,Dec-1991,82.76,INDIVIDUAL,,,80100.0
312,61442601,28000.0,719.43,7 years,MORTGAGE,85000.0,Source Verified,Current,debt_consolidation,NJ,6.61,0.0,Jul-2003,1227.43,INDIVIDUAL,,,31700.0
313,10875079,14675.0,,6 years,RENT,46845.0,Source Verified,Current,debt_consolidation,MD,26.93,1.0,Sep-1998,5705.42,INDIVIDUAL,,,8100.0
314,63390379,9000.0,282.78,1 year,MORTGAGE,75000.0,Source Verified,Current,debt_consolidation,OH,22.02,0.0,Sep-1999,113.01,INDIVIDUAL,,,33200.0
315,1465894,4200.0,,10+ years,RENT,77000.0,Not Verified,Fully Paid,medical,CA,5.14,0.0,Feb-1997,1096.78,INDIVIDUAL,,,
316,43839847,12000.0,,6 years,MORTGAGE,106000.0,Source Verified,Current,debt_consolidation,TX,12.77,0.0,Mar-1999,1174.94,INDIVIDUAL,,,14900.0
317,3057114,15000.0,485.14,n/a,,57000.0,Verified,Fully Paid,debt_consolidation,FL,15.25,1.0,Jan-1972,2257.7,INDIVIDUAL,,,65520.0
318,66035799,19000.0,503.28,4 years,MORTGAGE,97000.0,Verified,Late (16-30 days),debt_consolidation,NJ,23.17,0.0,Sep-1986,0.0,INDIVIDUAL,,,
319,1059948,12000.0,373.33,< 1 year,RENT,83000.0,Source Verified,Charged Off,debt_consolidation,NY,8.36,0.0,Jul-2001,547.09,INDIVIDUAL,,,
320,13687786,30000.0,708.05,10+ years,RENT,225000.0,Verified,Current,debt_consolidation,NJ,10.82,0.0,Feb-1986,6746.93,INDIVIDUAL,,,
321,64832219,21150.0,714.47,8 years,MORTGAGE,75000.0,Not Verified,Current,credit_card,TX,24.03,0.0,Sep-1992,209.07,INDIVIDUAL,,,66400.0
322,17193371,6750.0,242.58,n/a,RENT,17000.0,Source Verified,Current,debt_consolidation,MO,16.88,0.0,May-2003,1240.23,INDIVIDUAL,,,4300.0
323,11754852,7475.0,,10+ years,RENT,40000.0,Not Verified,Fully Paid,credit_card,NV,30.75,1.0,Mar-1985,1263.24,INDIVIDUAL,,,49900.0
324,12475750,9050.0,290.62,7 years,MORTGAGE,60000.0,Not Verified,Current,credit_card,AZ,22.5,0.0,Jun-1997,1176.56,INDIVIDUAL,,,10900.0
325,3289588,12000.0,429.45,10+ years,RENT,43000.0,Verified,Charged Off,debt_consolidation,CA,30.83,0.0,Sep-2001,1939.34,INDIVIDUAL,,,11600.0
